baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
EQU24_RS00955	1498.88125058018	-0.152800675499747	0.105286790672686	-1.45128058822471	0.146701744375462	0.627877243159453
EQU24_RS00960	3563.88047630308	-0.0504374215250461	0.107897081123549	-0.467458628165226	0.640171785168745	0.938864804032087
EQU24_RS00965	1067.14803657563	0.149244819783272	0.112266507765788	1.32937973001377	0.183722721809482	0.679245665662532
EQU24_RS00970	773.267307006148	0.0342231751911439	0.112930725212878	0.303045740002397	0.761855004023281	0.969425728559972
EQU24_RS00975	598.691919717026	0.0422821916043054	0.111087480648342	0.380620672622451	0.703484739406596	0.957024369755167
EQU24_RS00980	357.346899191697	-0.0837793902826516	0.112170623214807	-0.746892438336672	0.455128490760149	0.883364914006321
EQU24_RS00985	376.489389515618	0.123092376384579	0.110946244384999	1.10947763096361	0.267224189091617	0.769417431200549
EQU24_RS00990	608.851714461254	0.249182324852918	0.105289998354944	2.36662863278712	0.0179509350310491	0.216916089177587
EQU24_RS00995	146.099438634426	0.028104637445158	0.110878475390648	0.253472437694868	0.79990315739562	0.979530264667012
EQU24_RS01000	121.097008257582	0.185955406281487	0.112941529336252	1.64647501565041	0.0996659998013101	0.539211763000118
EQU24_RS01005	221.609477089946	0.0661454511472144	0.108762815230833	0.608162366952625	0.543079791490646	0.917522180090587
EQU24_RS01010	1570.37398565902	-0.000101492912697433	0.111243172509408	-0.000912351836143916	0.99927204865691	0.999494476800903
EQU24_RS01015	1098.5121980751	-0.142774635054268	0.110681407364621	-1.28996042292742	0.197064399787738	0.694996814572403
EQU24_RS01020	520.264676360297	-0.0761889094265923	0.112103714908842	-0.679628765991796	0.496739550681618	0.895097661443008
EQU24_RS01025	488.161368802339	-0.0691810851566408	0.105113837800208	-0.658153927251086	0.51043922652015	0.902124005341114
EQU24_RS01030	84.1450996440723	-0.0491926897046904	0.110524753386385	-0.44508300808161	0.656259767858402	0.946627742343285
EQU24_RS01035	307.737245843998	0.159986917798203	0.111896514436374	1.42977570484712	0.152781404148092	0.637010069361261
EQU24_RS01040	155.340125901594	-0.0387976237897603	0.098442588365673	-0.394114218590468	0.693496713911486	0.955842063369489
EQU24_RS01050	177.536892401818	0.147410788172104	0.094639938485941	1.55759598463815	0.119329051148445	0.580955428751659
EQU24_RS01055	54.6991028771081	-0.00204257447980765	0.113045265768853	-0.0180686423789224	0.985584093622975	0.998780582596626
EQU24_RS01060	278.042290995965	-0.0885062879009144	0.109855812564612	-0.805658670531055	0.42043968618028	0.870202345345442
EQU24_RS01065	454.203841915488	0.0825425914739	0.111864770189097	0.737878344847706	0.46058837937102	0.88509836860596
EQU24_RS01070	710.296683544987	0.31685398998811	0.096677139130244	3.27744483172224	0.00104751198362882	0.0320284724691359
EQU24_RS01075	612.718018186699	0.0458501397049042	0.106349316822774	0.431127731467342	0.666375497690216	0.951315745612003
EQU24_RS01080	347.496423259811	-0.0573804730621539	0.112366800068862	-0.510653262591701	0.609593872896958	0.936214013661252
EQU24_RS01085	347.798524623199	-0.011262992466184	0.10802968589758	-0.104258309858108	0.916964361467488	0.992455929976611
EQU24_RS01090	299.192592358263	-0.114458618548605	0.106727032681379	-1.07244261995279	0.28352127356669	0.787169658980962
EQU24_RS01095	927.488012063609	-0.124633030448932	0.112878655275306	-1.10413284198822	0.269535516655397	0.772069088162657
EQU24_RS01100	425.037819350724	0.0439827989945973	0.109019142781749	0.403441064315178	0.686623782763098	0.954019878299779
EQU24_RS01105	531.140969140484	-0.143342078744937	0.109633536989665	-1.30746560478524	0.191054628987696	0.690577964515665
EQU24_RS01110	424.015131648288	0.0174904793821504	0.0863653323500304	0.202517363231617	0.839512285734351	0.984091076544648
EQU24_RS01115	108.85890948638	-0.0616709821448112	0.113049191450572	-0.545523425276115	0.585393573867533	0.928306302580903
EQU24_RS01120	93.1461389331825	-0.223968690226379	0.111193032701252	-2.01423312940953	0.0439850629583929	0.360820557113971
EQU24_RS01125	136.562275120588	-0.245849011375925	0.100192792669041	-2.45375944543256	0.0141371517187971	0.184652247045518
EQU24_RS01130	142.575459924385	-0.0521625766196228	0.0988416625007615	-0.527738762176535	0.597680665622705	0.932499038901424
EQU24_RS01135	33.3101721566077	0.0155717534184772	0.10798699631605	0.144200264380932	0.885342332181973	0.990398743484802
EQU24_RS01140	354.545848767347	0.000680251069451575	0.102901667397016	0.00661069044515113	0.994725470574831	0.9992534550795
EQU24_RS01145	226.861240430232	-0.0457427536248068	0.105976006154392	-0.431633114746426	0.666008086652957	0.951315745612003
EQU24_RS01150	12.8965316711958	0.0673291588455676	0.0624089200876124	1.07883871009221	0.280659635009648	0.783362577385159
EQU24_RS01155	24.9370100916649	0.124376485597576	0.111930911929784	1.11118978174322	0.266486668630963	0.769342056219288
EQU24_RS01160	157.230420637718	-0.10025261148754	0.112897536784586	-0.887996446537424	0.37454266275888	0.849141677168207
EQU24_RS01170	110.292244863303	-0.0517895978785081	0.104619713092467	-0.495027144958181	0.62058095943631	0.936706289720372
EQU24_RS01175	42.9497200498453	-0.1397068554079	0.0942246202404194	-1.48270011650278	0.138154103675584	0.617603634171591
